micro,year,name,num,ast
Klebsiella pneumoniae|Carbapenems,2009,United Kingdom,1,R
Klebsiella pneumoniae|Carbapenems,2010,Austria,3,R
Klebsiella pneumoniae|Carbapenems,2010,Belgium,0,R
Klebsiella pneumoniae|Carbapenems,2010,Bulgaria,0,R
Klebsiella pneumoniae|Carbapenems,2010,Cyprus,11,R
Klebsiella pneumoniae|Carbapenems,2010,Czechia,1,R
Klebsiella pneumoniae|Carbapenems,2010,Germany,0,R
Klebsiella pneumoniae|Carbapenems,2010,Denmark,0,R
Klebsiella pneumoniae|Carbapenems,2010,Estonia,0,R
Klebsiella pneumoniae|Carbapenems,2010,Greece,828,R
Klebsiella pneumoniae|Carbapenems,2010,Spain,0,R
Klebsiella pneumoniae|Carbapenems,2010,Finland,0,R
Klebsiella pneumoniae|Carbapenems,2010,France,1,R
Klebsiella pneumoniae|Carbapenems,2010,Croatia,6,R
Klebsiella pneumoniae|Carbapenems,2010,Hungary,27,R
Klebsiella pneumoniae|Carbapenems,2010,Ireland,0,R
Klebsiella pneumoniae|Carbapenems,2010,Iceland,0,R
Klebsiella pneumoniae|Carbapenems,2010,Italy,111,R
Klebsiella pneumoniae|Carbapenems,2010,Lithuania,0,R
Klebsiella pneumoniae|Carbapenems,2010,Luxembourg,0,R
Klebsiella pneumoniae|Carbapenems,2010,Latvia,0,R
Klebsiella pneumoniae|Carbapenems,2010,Malta,0,R
Klebsiella pneumoniae|Carbapenems,2010,Netherlands,2,R
Klebsiella pneumoniae|Carbapenems,2010,Norway,0,R
Klebsiella pneumoniae|Carbapenems,2010,Poland,0,R
Klebsiella pneumoniae|Carbapenems,2010,Portugal,6,R
Klebsiella pneumoniae|Carbapenems,2010,Romania,0,R
Klebsiella pneumoniae|Carbapenems,2010,Sweden,2,R
Klebsiella pneumoniae|Carbapenems,2010,Slovenia,1,R
Klebsiella pneumoniae|Carbapenems,2010,United Kingdom,1,R
Klebsiella pneumoniae|Carbapenems,2011,Austria,1,R
Klebsiella pneumoniae|Carbapenems,2011,Belgium,2,R
Klebsiella pneumoniae|Carbapenems,2011,Bulgaria,0,R
Klebsiella pneumoniae|Carbapenems,2011,Cyprus,13,R
Klebsiella pneumoniae|Carbapenems,2011,Czechia,1,R
Klebsiella pneumoniae|Carbapenems,2011,Germany,0,R
Klebsiella pneumoniae|Carbapenems,2011,Denmark,0,R
Klebsiella pneumoniae|Carbapenems,2011,Estonia,0,R
Klebsiella pneumoniae|Carbapenems,2011,Greece,1115,R
Klebsiella pneumoniae|Carbapenems,2011,Spain,4,R
Klebsiella pneumoniae|Carbapenems,2011,Finland,0,R
Klebsiella pneumoniae|Carbapenems,2011,France,0,R
Klebsiella pneumoniae|Carbapenems,2011,Croatia,0,R
Klebsiella pneumoniae|Carbapenems,2011,Hungary,8,R
Klebsiella pneumoniae|Carbapenems,2011,Ireland,1,R
Klebsiella pneumoniae|Carbapenems,2011,Iceland,0,R
Klebsiella pneumoniae|Carbapenems,2011,Italy,164,R
